Application_ID,Loan_ID,Customer_ID,Application_Date,Approval_Date,Loan_Purpose,Source_Channel,Processing_Fee,Approval_Status,Rejection_Reason
A000001,L000001,C000001,2022-05-11,2020-10-02,Business,Agent,6427,Approved,
A000002,L000002,C000002,2022-03-18,2022-11-29,Education,Online,8605,Approved,
A000003,L000003,C000003,2022-01-17,2023-07-01,Business,Online,1450,Approved,
A000004,L000004,C000004,2019-03-09,2024-08-30,Home Renovation,Agent,8171,Approved,
A000005,L000005,C000005,2024-07-18,2020-03-18,Education,Branch,4931,Approved,
A000006,L000006,C000006,2021-06-03,2024-06-06,Vehicle,Online,3847,Approved,
A000007,L000007,C000007,2021-04-04,2024-10-04,Vehicle,Agent,6322,Approved,
A000008,L000008,C000008,2020-01-23,2021-08-13,Personal,Agent,2079,Approved,
A000009,L000009,C000009,2022-04-07,2021-02-20,Home Renovation,Online,7898,Approved,
A000010,L000010,C000010,2021-03-12,2022-08-03,Personal,Online,1017,Approved,
A000011,L000011,C000011,2019-01-11,2020-10-04,Home Renovation,Online,7941,Approved,
A000012,L000012,C000012,2023-07-24,2023-09-29,Education,Online,2242,Approved,
A000013,L000013,C000013,2021-11-09,2020-08-01,Personal,Online,6948,Approved,
A000014,L000014,C000014,2024-09-04,2020-06-02,Home Renovation,Branch,3916,Approved,
A000015,L000015,C000015,2022-06-25,2021-06-03,Vehicle,Branch,5964,Approved,
A000016,L000016,C000016,2022-07-15,2023-04-17,Personal,Agent,7813,Approved,
A000017,L000017,C000017,2024-10-30,2024-01-31,Vehicle,Online,5630,Approved,
A000018,L000018,C000018,2021-04-28,2021-11-22,Education,Agent,8859,Approved,
A000019,L000019,C000019,2020-03-03,2023-10-05,Personal,Agent,5924,Approved,
A000020,L000020,C000020,2024-03-20,2022-10-10,Vehicle,Agent,2645,Approved,
A000021,L000021,C000021,2024-06-27,2022-05-14,Education,Agent,909,Approved,
A000022,L000022,C000022,2019-10-27,2020-07-05,Education,Branch,7663,Approved,
A000023,L000023,C000023,2019-09-17,2024-07-17,Vehicle,Online,7885,Approved,
A000024,L000024,C000024,2022-02-02,2023-12-19,Education,Branch,594,Approved,
A000025,L000025,C000025,2019-12-12,2024-03-29,Business,Branch,2926,Approved,
A000026,L000026,C000026,2021-06-30,2022-06-21,Education,Online,3426,Approved,
A000027,L000027,C000027,2021-01-20,2022-12-07,Home Renovation,Online,7662,Approved,
A000028,L000028,C000028,2021-03-15,2024-04-25,Business,Online,8125,Approved,
A000029,L000029,C000029,2024-02-24,2020-10-27,Home Renovation,Online,6859,Approved,
A000030,L000030,C000030,2023-07-24,2024-04-13,Personal,Agent,8439,Approved,
A000031,L000031,C000031,2024-07-17,2024-12-09,Business,Online,9259,Approved,
A000032,L000032,C000032,2020-01-24,2020-03-16,Home Renovation,Online,7231,Approved,
A000033,L000033,C000033,2021-05-27,2023-09-13,Business,Online,8324,Approved,
A000034,L000034,C000034,2024-08-19,2023-05-17,Vehicle,Agent,4778,Approved,
A000035,L000035,C000035,2021-05-30,2022-06-02,Home Renovation,Branch,3930,Approved,
A000036,L000036,C000036,2021-01-05,2021-10-03,Business,Branch,4655,Approved,
A000037,L000037,C000037,2019-02-05,2022-11-26,Home Renovation,Branch,3851,Approved,
A000038,L000038,C000038,2021-12-24,2020-11-24,Vehicle,Agent,1344,Approved,
A000039,L000039,C000039,2019-02-12,2022-04-22,Home Renovation,Agent,4801,Approved,
A000040,L000040,C000040,2020-06-20,2023-10-21,Personal,Agent,612,Approved,
A000041,L000041,C000041,2022-05-15,2023-04-21,Education,Online,5624,Approved,
A000042,L000042,C000042,2020-06-11,2024-09-27,Vehicle,Agent,8677,Approved,
A000043,L000043,C000043,2020-02-03,2023-09-27,Vehicle,Agent,8063,Approved,
A000044,L000044,C000044,2021-03-28,2023-11-17,Education,Agent,3547,Approved,
A000045,L000045,C000045,2020-11-16,2020-07-14,Vehicle,Branch,3017,Approved,
A000046,L000046,C000046,2023-11-24,2021-08-31,Personal,Online,2509,Approved,
A000047,L000047,C000047,2023-09-09,2022-11-08,Education,Agent,5801,Approved,
A000048,L000048,C000048,2019-05-21,2022-11-24,Business,Agent,9650,Approved,
A000049,L000049,C000049,2024-07-13,2023-04-17,Personal,Agent,2658,Approved,
A000050,L000050,C000050,2024-10-02,2023-07-15,Home Renovation,Online,4864,Approved,
A000051,L000051,C000051,2022-06-30,2022-02-08,Personal,Agent,3540,Approved,
A000052,L000052,C000052,2022-11-14,2020-06-16,Education,Branch,8206,Approved,
A000053,L000053,C000053,2020-11-26,2020-12-22,Vehicle,Agent,3819,Approved,
A000054,L000054,C000054,2024-07-11,2023-01-04,Personal,Online,6877,Approved,
A000055,L000055,C000055,2022-03-22,2023-02-24,Education,Branch,7206,Approved,
A000056,L000056,C000056,2022-04-26,2024-11-24,Personal,Branch,6990,Approved,
A000057,L000057,C000057,2021-05-05,2022-05-25,Personal,Agent,1862,Approved,
A000058,L000058,C000058,2021-10-14,2023-07-16,Home Renovation,Agent,1549,Approved,
A000059,L000059,C000059,2021-07-27,2021-08-28,Education,Agent,8396,Approved,
A000060,L000060,C000060,2019-01-05,2022-04-10,Vehicle,Online,9178,Approved,
A000061,L000061,C000061,2023-07-01,2022-03-06,Education,Online,8958,Approved,
A000062,L000062,C000062,2023-09-20,2022-12-04,Business,Branch,6270,Approved,
A000063,L000063,C000063,2024-05-17,2024-06-21,Home Renovation,Branch,9312,Approved,
A000064,L000064,C000064,2022-01-11,2021-01-29,Vehicle,Online,7264,Approved,
A000065,L000065,C000065,2021-02-01,2021-11-16,Home Renovation,Branch,3920,Approved,
A000066,L000066,C000066,2019-09-30,2023-01-17,Business,Online,1363,Approved,
A000067,L000067,C000067,2024-04-06,2022-02-15,Education,Online,9635,Approved,
A000068,L000068,C000068,2021-10-06,2020-01-24,Vehicle,Branch,2239,Approved,
A000069,L000069,C000069,2021-12-18,2020-01-10,Home Renovation,Online,3548,Approved,
A000070,L000070,C000070,2022-10-19,2020-06-28,Education,Agent,4176,Approved,
A000071,L000071,C000071,2022-06-27,2021-02-15,Education,Agent,7186,Approved,
A000072,L000072,C000072,2019-02-11,2020-10-17,Personal,Branch,2423,Approved,
A000073,L000073,C000073,2024-12-20,2024-10-22,Education,Online,4404,Approved,
A000074,L000074,C000074,2021-11-23,2021-06-16,Personal,Agent,1556,Approved,
A000075,L000075,C000075,2019-03-24,2022-05-15,Business,Online,7995,Approved,
A000076,L000076,C000076,2021-07-25,2020-05-26,Personal,Online,1108,Approved,
A000077,L000077,C000077,2021-04-22,2022-02-20,Home Renovation,Branch,3518,Approved,
A000078,L000078,C000078,2024-11-26,2022-11-20,Education,Online,8186,Approved,
A000079,L000079,C000079,2022-07-10,2022-07-14,Personal,Online,3307,Approved,
A000080,L000080,C000080,2020-01-26,2021-02-22,Education,Online,5826,Approved,
A000081,L000081,C000081,2020-10-13,2024-02-14,Business,Branch,2453,Approved,
A000082,L000082,C000082,2020-10-13,2022-08-04,Home Renovation,Agent,6874,Approved,
A000083,L000083,C000083,2023-11-02,2021-07-01,Education,Agent,6303,Approved,
A000084,L000084,C000084,2024-02-26,2020-07-24,Vehicle,Agent,3541,Approved,
A000085,L000085,C000085,2024-07-07,2024-01-27,Business,Agent,8182,Approved,
