Application_ID,Loan_ID,Customer_ID,Application_Date,Approval_Date,Loan_Purpose,Source_Channel,Processing_Fee,Approval_Status,Rejection_Reason
A000001,L000001,C000001,2022-05-11,2020-10-02,Business,Agent,6427,Approved,None
A000002,L000002,C000002,2022-03-18,2022-11-29,Education,Online,8605,Approved,None
A000003,L000003,C000003,2022-01-17,2023-07-01,Business,Online,1450,Approved,None
A000004,L000004,C000004,2019-03-09,2024-08-30,Home Renovation,Agent,8171,Approved,None
A000005,L000005,C000005,2024-07-18,2020-03-18,Education,Branch,4931,Approved,None
A000006,L000006,C000006,2021-06-03,2024-06-06,Vehicle,Online,3847,Approved,None
A000007,L000007,C000007,2021-04-04,2024-10-04,Vehicle,Agent,6322,Approved,None
A000008,L000008,C000008,2020-01-23,2021-08-13,Personal,Agent,2079,Approved,None
A000009,L000009,C000009,2022-04-07,2021-02-20,Home Renovation,Online,7898,Approved,None
A000010,L000010,C000010,2021-03-12,2022-08-03,Personal,Online,1017,Approved,None
A000011,L000011,C000011,2019-01-11,2020-10-04,Home Renovation,Online,7941,Approved,None
A000012,L000012,C000012,2023-07-24,2023-09-29,Education,Online,2242,Approved,None
A000013,L000013,C000013,2021-11-09,2020-08-01,Personal,Online,6948,Approved,None
A000014,L000014,C000014,2024-09-04,2020-06-02,Home Renovation,Branch,3916,Approved,None
A000015,L000015,C000015,2022-06-25,2021-06-03,Vehicle,Branch,5964,Approved,None
A000016,L000016,C000016,2022-07-15,2023-04-17,Personal,Agent,7813,Approved,None
A000017,L000017,C000017,2024-10-30,2024-01-31,Vehicle,Online,5630,Approved,None
A000018,L000018,C000018,2021-04-28,2021-11-22,Education,Agent,8859,Approved,None
A000019,L000019,C000019,2020-03-03,2023-10-05,Personal,Agent,5924,Approved,None
A000020,L000020,C000020,2024-03-20,2022-10-10,Vehicle,Agent,2645,Approved,None
A000021,L000021,C000021,2024-06-27,2022-05-14,Education,Agent,909,Approved,None
A000022,L000022,C000022,2019-10-27,2020-07-05,Education,Branch,7663,Approved,None
A000023,L000023,C000023,2019-09-17,2024-07-17,Vehicle,Online,7885,Approved,None
A000024,L000024,C000024,2022-02-02,2023-12-19,Education,Branch,594,Approved,None
A000025,L000025,C000025,2019-12-12,2024-03-29,Business,Branch,2926,Approved,None
A000026,L000026,C000026,2021-06-30,2022-06-21,Education,Online,3426,Approved,None
A000027,L000027,C000027,2021-01-20,2022-12-07,Home Renovation,Online,7662,Approved,None
A000028,L000028,C000028,2021-03-15,2024-04-25,Business,Online,8125,Approved,None
A000029,L000029,C000029,2024-02-24,2020-10-27,Home Renovation,Online,6859,Approved,None
A000030,L000030,C000030,2023-07-24,2024-04-13,Personal,Agent,8439,Approved,None
A000031,L000031,C000031,2024-07-17,2024-12-09,Business,Online,9259,Approved,None
A000032,L000032,C000032,2020-01-24,2020-03-16,Home Renovation,Online,7231,Approved,None
A000033,L000033,C000033,2021-05-27,2023-09-13,Business,Online,8324,Approved,None
A000034,L000034,C000034,2024-08-19,2023-05-17,Vehicle,Agent,4778,Approved,None
A000035,L000035,C000035,2021-05-30,2022-06-02,Home Renovation,Branch,3930,Approved,None
A000036,L000036,C000036,2021-01-05,2021-10-03,Business,Branch,4655,Approved,None
A000037,L000037,C000037,2019-02-05,2022-11-26,Home Renovation,Branch,3851,Approved,None
A000038,L000038,C000038,2021-12-24,2020-11-24,Vehicle,Agent,1344,Approved,None
A000039,L000039,C000039,2019-02-12,2022-04-22,Home Renovation,Agent,4801,Approved,None
A000040,L000040,C000040,2020-06-20,2023-10-21,Personal,Agent,612,Approved,None
A000041,L000041,C000041,2022-05-15,2023-04-21,Education,Online,5624,Approved,None
A000042,L000042,C000042,2020-06-11,2024-09-27,Vehicle,Agent,8677,Approved,None
A000043,L000043,C000043,2020-02-03,2023-09-27,Vehicle,Agent,8063,Approved,None
A000044,L000044,C000044,2021-03-28,2023-11-17,Education,Agent,3547,Approved,None
A000045,L000045,C000045,2020-11-16,2020-07-14,Vehicle,Branch,3017,Approved,None
A000046,L000046,C000046,2023-11-24,2021-08-31,Personal,Online,2509,Approved,None
A000047,L000047,C000047,2023-09-09,2022-11-08,Education,Agent,5801,Approved,None
A000048,L000048,C000048,2019-05-21,2022-11-24,Business,Agent,9650,Approved,None
A000049,L000049,C000049,2024-07-13,2023-04-17,Personal,Agent,2658,Approved,None
A000050,L000050,C000050,2024-10-02,2023-07-15,Home Renovation,Online,4864,Approved,None
A000051,L000051,C000051,2022-06-30,2022-02-08,Personal,Agent,3540,Approved,None
A000052,L000052,C000052,2022-11-14,2020-06-16,Education,Branch,8206,Approved,None
A000053,L000053,C000053,2020-11-26,2020-12-22,Vehicle,Agent,3819,Approved,None
A000054,L000054,C000054,2024-07-11,2023-01-04,Personal,Online,6877,Approved,None
A000055,L000055,C000055,2022-03-22,2023-02-24,Education,Branch,7206,Approved,None
A000056,L000056,C000056,2022-04-26,2024-11-24,Personal,Branch,6990,Approved,None
A000057,L000057,C000057,2021-05-05,2022-05-25,Personal,Agent,1862,Approved,None
A000058,L000058,C000058,2021-10-14,2023-07-16,Home Renovation,Agent,1549,Approved,None
A000059,L000059,C000059,2021-07-27,2021-08-28,Education,Agent,8396,Approved,None
A000060,L000060,C000060,2019-01-05,2022-04-10,Vehicle,Online,9178,Approved,None
A000061,L000061,C000061,2023-07-01,2022-03-06,Education,Online,8958,Approved,None
A000062,L000062,C000062,2023-09-20,2022-12-04,Business,Branch,6270,Approved,None
A000063,L000063,C000063,2024-05-17,2024-06-21,Home Renovation,Branch,9312,Approved,None
A000064,L000064,C000064,2022-01-11,2021-01-29,Vehicle,Online,7264,Approved,None
A000065,L000065,C000065,2021-02-01,2021-11-16,Home Renovation,Branch,3920,Approved,None
A000066,L000066,C000066,2019-09-30,2023-01-17,Business,Online,1363,Approved,None
A000067,L000067,C000067,2024-04-06,2022-02-15,Education,Online,9635,Approved,None
A000068,L000068,C000068,2021-10-06,2020-01-24,Vehicle,Branch,2239,Approved,None
A000069,L000069,C000069,2021-12-18,2020-01-10,Home Renovation,Online,3548,Approved,None
A000070,L000070,C000070,2022-10-19,2020-06-28,Education,Agent,4176,Approved,None
A000071,L000071,C000071,2022-06-27,2021-02-15,Education,Agent,7186,Approved,None
A000072,L000072,C000072,2019-02-11,2020-10-17,Personal,Branch,2423,Approved,None
A000073,L000073,C000073,2024-12-20,2024-10-22,Education,Online,4404,Approved,None
A000074,L000074,C000074,2021-11-23,2021-06-16,Personal,Agent,1556,Approved,None
A000075,L000075,C000075,2019-03-24,2022-05-15,Business,Online,7995,Approved,None
A000076,L000076,C000076,2021-07-25,2020-05-26,Personal,Online,1108,Approved,None
A000077,L000077,C000077,2021-04-22,2022-02-20,Home Renovation,Branch,3518,Approved,None
A000078,L000078,C000078,2024-11-26,2022-11-20,Education,Online,8186,Approved,None
A000079,L000079,C000079,2022-07-10,2022-07-14,Personal,Online,3307,Approved,None
A000080,L000080,C000080,2020-01-26,2021-02-22,Education,Online,5826,Approved,None
A000081,L000081,C000081,2020-10-13,2024-02-14,Business,Branch,2453,Approved,None
A000082,L000082,C000082,2020-10-13,2022-08-04,Home Renovation,Agent,6874,Approved,None
A000083,L000083,C000083,2023-11-02,2021-07-01,Education,Agent,6303,Approved,None
A000084,L000084,C000084,2024-02-26,2020-07-24,Vehicle,Agent,3541,Approved,None
A000085,L000085,C000085,2024-07-07,2024-01-27,Business,Agent,8182,Approved,None
A000086,L000086,C000086,2023-01-15,2022-01-26,Business,Agent,7778,Approved,None
A000087,L000087,C000087,2020-12-21,2024-01-25,Education,Branch,4610,Approved,None
A000088,L000088,C000088,2019-01-30,2023-01-22,Business,Agent,6519,Approved,None
A000089,L000089,C000089,2022-11-11,2023-02-03,Education,Online,7516,Approved,None
A000090,L000090,C000090,2023-01-18,2021-08-10,Business,Branch,5498,Approved,None
A000091,L000091,C000091,2019-06-04,2021-05-26,Home Renovation,Online,3808,Approved,None
A000092,L000092,C000092,2020-11-04,2023-10-27,Home Renovation,Branch,4722,Approved,None
A000093,L000093,C000093,2021-02-03,2020-12-22,Business,Online,9220,Approved,None
A000094,L000094,C000094,2024-12-09,2021-07-07,Vehicle,Agent,8499,Approved,None
A000095,L000095,C000095,2023-12-28,2022-01-28,Education,Branch,6445,Approved,None
A000096,L000096,C000096,2023-09-11,2022-08-10,Personal,Online,1722,Approved,None
A000097,L000097,C000097,2022-12-22,2021-07-17,Business,Branch,5596,Approved,None
A000098,L000098,C000098,2021-08-10,2020-07-10,Vehicle,Branch,8261,Approved,None
A000099,L000099,C000099,2019-02-07,2022-02-09,Business,Branch,1774,Approved,None
A000100,L000100,C000100,2022-10-24,2021-09-17,Personal,Online,5193,Approved,None
A000101,L000101,C000101,2024-04-21,2021-09-28,Education,Branch,1520,Approved,None
A000102,L000102,C000102,2022-12-22,2022-12-08,Education,Online,5894,Approved,None
A000103,L000103,C000103,2020-08-22,2024-11-02,Home Renovation,Branch,6253,Approved,None
A000104,L000104,C000104,2022-10-15,2024-12-29,Home Renovation,Online,2742,Approved,None
A000105,L000105,C000105,2024-03-14,2024-10-15,Education,Online,5126,Approved,None
A000106,L000106,C000106,2020-10-27,2021-06-17,Home Renovation,Branch,8877,Approved,None
A000107,L000107,C000107,2024-03-23,2021-01-15,Home Renovation,Branch,1655,Approved,None
A000108,L000108,C000108,2020-07-09,2020-05-06,Home Renovation,Branch,6719,Approved,None
A000109,L000109,C000109,2019-10-13,2022-07-13,Home Renovation,Agent,1259,Approved,None
A000110,L000110,C000110,2020-01-21,2023-09-17,Business,Branch,3760,Approved,None
A000111,L000111,C000111,2024-01-04,2022-10-10,Business,Agent,6554,Approved,None
A000112,L000112,C000112,2021-04-01,2024-05-07,Business,Branch,7411,Approved,None
A000113,L000113,C000113,2020-03-05,2023-02-05,Home Renovation,Branch,5418,Approved,None
A000114,L000114,C000114,2019-12-25,2024-09-22,Education,Agent,4605,Approved,None
A000115,L000115,C000115,2022-08-15,2022-07-31,Vehicle,Agent,9871,Approved,None
A000116,L000116,C000116,2021-01-18,2021-10-13,Home Renovation,Branch,1715,Approved,None
A000117,L000117,C000117,2019-06-30,2020-11-17,Home Renovation,Branch,3842,Approved,None
A000118,L000118,C000118,2024-10-16,2020-04-25,Home Renovation,Online,7131,Approved,None
A000119,L000119,C000119,2019-12-22,2023-01-16,Home Renovation,Branch,8478,Approved,None
A000120,L000120,C000120,2023-09-03,2020-10-13,Vehicle,Online,9905,Approved,None
A000121,L000121,C000121,2021-01-07,2020-01-11,Home Renovation,Branch,5762,Approved,None
A000122,L000122,C000122,2021-01-01,2020-10-13,Education,Online,4515,Approved,None
